bioguide_id,full_name,chamber,party,state,district,seat,member_type,voting_member,first_term_start,seniority_years,govtrack_id,served_113,served_114,served_115,served_116,served_117,served_118,served_119,bills_introduced,laws_enacted,laws_via_related,laws_enacted_including,enactment_rate,standalone_rate,period,period_label,congresses_included
M001212,Barry Moore,House,Republican,AL,1,AL-1,Representative,True,2021-01-03,4.0,456800,False,False,False,False,True,True,True,17,1,0,1,0.058823529411764705,0.058823529411764705,118,118th Congress (2023–2025),118
R000575,Mike Rogers,House,Republican,AL,3,AL-3,Representative,True,2003-01-07,22.0,400341,True,True,True,True,True,True,True,4,1,0,1,0.25,0.25,118,118th Congress (2023–2025),118
A000055,Robert B. Aderholt,House,Republican,AL,4,AL-4,Representative,True,1997-01-07,28.0,400004,True,True,True,True,True,True,True,6,1,0,1,0.16666666666666666,0.16666666666666666,118,118th Congress (2023–2025),118
S001220,Dale W. Strong,House,Republican,AL,5,AL-5,Representative,True,2023-01-03,2.0,456878,False,False,False,False,False,True,True,13,1,0,1,0.07692307692307693,0.07692307692307693,118,118th Congress (2023–2025),118
P000609,Gary J. Palmer,House,Republican,AL,6,AL-6,Representative,True,2015-01-06,10.0,412608,False,True,True,True,True,True,True,50,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
S001185,Terri A. Sewell,House,Democratic,AL,7,AL-7,Representative,True,2011-01-05,14.0,412396,True,True,True,True,True,True,True,16,1,0,1,0.0625,0.0625,118,118th Congress (2023–2025),118
C001087,"Eric A. ""Rick"" Crawford",House,Republican,AR,1,AR-1,Representative,True,2011-01-05,14.0,412400,True,True,True,True,True,True,True,20,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
H001072,J. French Hill,House,Republican,AR,2,AR-2,Representative,True,2015-01-06,10.0,412609,False,True,True,True,True,True,True,28,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
W000809,Steve Womack,House,Republican,AR,3,AR-3,Representative,True,2011-01-05,14.0,412402,True,True,True,True,True,True,True,8,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
W000821,Bruce Westerman,House,Republican,AR,4,AR-4,Representative,True,2015-01-06,10.0,412610,False,True,True,True,True,True,True,13,2,0,2,0.15384615384615385,0.15384615384615385,118,118th Congress (2023–2025),118
R000600,Aumua Amata Coleman Radewagen,House,Republican,AS,At-Large,AS-AL,Delegate/Resident Commissioner,False,2015-01-06,10.0,412664,False,True,True,True,True,True,True,5,1,0,1,0.2,0.2,118,118th Congress (2023–2025),118
S001183,David Schweikert,House,Republican,AZ,1,AZ-1,Representative,True,2011-01-05,14.0,412399,True,True,True,True,True,True,True,25,1,0,1,0.04,0.04,118,118th Congress (2023–2025),118
C001132,Elijah Crane,House,Republican,AZ,2,AZ-2,Representative,True,2023-01-03,2.0,456879,False,False,False,False,False,True,True,17,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
S001211,Greg Stanton,House,Democratic,AZ,4,AZ-4,Representative,True,2019-01-03,6.0,412753,False,False,False,True,True,True,True,21,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
B001302,Andy Biggs,House,Republican,AZ,5,AZ-5,Representative,True,2017-01-03,8.0,412683,False,False,True,True,True,True,True,606,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
C001133,Juan Ciscomani,House,Republican,AZ,6,AZ-6,Representative,True,2023-01-03,2.0,456880,False,False,False,False,False,True,True,31,1,0,1,0.03225806451612903,0.03225806451612903,118,118th Congress (2023–2025),118
G000565,Paul A. Gosar,House,Republican,AZ,9,AZ-9,Representative,True,2011-01-05,14.0,412397,True,True,True,True,True,True,True,20,2,0,2,0.1,0.1,118,118th Congress (2023–2025),118
D000623,Mark DeSaulnier,House,Democratic,CA,10,CA-10,Representative,True,2015-01-06,10.0,412613,False,True,True,True,True,True,True,37,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
P000197,Nancy Pelosi,House,Democratic,CA,11,CA-11,Representative,True,1987-01-06,38.0,400314,True,True,True,True,True,True,True,0,0,0,0,,,118,118th Congress (2023–2025),118
M001225,Kevin Mullin,House,Democratic,CA,15,CA-15,Representative,True,2023-01-03,2.0,456883,False,False,False,False,False,True,True,6,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
K000389,Ro Khanna,House,Democratic,CA,17,CA-17,Representative,True,2017-01-03,8.0,412684,False,False,True,True,True,True,True,38,1,1,2,0.05263157894736842,0.02631578947368421,118,118th Congress (2023–2025),118
L000397,Zoe Lofgren,House,Democratic,CA,18,CA-18,Representative,True,1995-01-04,30.0,400245,True,True,True,True,True,True,True,15,0,0,0,0.0,0.0,118,118th Congress (2023–2025),118
