bioguide_id,full_name,chamber,party,state,district,seat,member_type,voting_member,first_term_start,seniority_years,govtrack_id,served_113,served_114,served_115,served_116,served_117,served_118,served_119
B001323,Nicholas J. Begich III,House,Republican,AK,At-Large,AK-AL,Representative,True,2025-01-03,1.6,456970,False,False,False,False,False,False,True
M001212,Barry Moore,House,Republican,AL,1,AL-1,Representative,True,2021-01-03,5.6,456800,False,False,False,False,True,True,True
F000481,Shomari Figures,House,Democratic,AL,2,AL-2,Representative,True,2025-01-03,1.6,456971,False,False,False,False,False,False,True
R000575,Mike Rogers,House,Republican,AL,3,AL-3,Representative,True,2003-01-07,23.6,400341,True,True,True,True,True,True,True
A000055,Robert B. Aderholt,House,Republican,AL,4,AL-4,Representative,True,1997-01-07,29.6,400004,True,True,True,True,True,True,True
S001220,Dale W. Strong,House,Republican,AL,5,AL-5,Representative,True,2023-01-03,3.6,456878,False,False,False,False,False,True,True
P000609,Gary J. Palmer,House,Republican,AL,6,AL-6,Representative,True,2015-01-06,11.6,412608,False,True,True,True,True,True,True
S001185,Terri A. Sewell,House,Democratic,AL,7,AL-7,Representative,True,2011-01-05,15.6,412396,True,True,True,True,True,True,True
C001087,"Eric A. ""Rick"" Crawford",House,Republican,AR,1,AR-1,Representative,True,2011-01-05,15.6,412400,True,True,True,True,True,True,True
H001072,J. French Hill,House,Republican,AR,2,AR-2,Representative,True,2015-01-06,11.6,412609,False,True,True,True,True,True,True
W000809,Steve Womack,House,Republican,AR,3,AR-3,Representative,True,2011-01-05,15.6,412402,True,True,True,True,True,True,True
W000821,Bruce Westerman,House,Republican,AR,4,AR-4,Representative,True,2015-01-06,11.6,412610,False,True,True,True,True,True,True
R000600,Aumua Amata Coleman Radewagen,House,Republican,AS,At-Large,AS-AL,Delegate/Resident Commissioner,False,2015-01-06,11.6,412664,False,True,True,True,True,True,True
S001183,David Schweikert,House,Republican,AZ,1,AZ-1,Representative,True,2011-01-05,15.6,412399,True,True,True,True,True,True,True
C001132,Elijah Crane,House,Republican,AZ,2,AZ-2,Representative,True,2023-01-03,3.6,456879,False,False,False,False,False,True,True
A000381,Yassamin Ansari,House,Democratic,AZ,3,AZ-3,Representative,True,2025-01-03,1.6,456972,False,False,False,False,False,False,True
S001211,Greg Stanton,House,Democratic,AZ,4,AZ-4,Representative,True,2019-01-03,7.6,412753,False,False,False,True,True,True,True
B001302,Andy Biggs,House,Republican,AZ,5,AZ-5,Representative,True,2017-01-03,9.6,412683,False,False,True,True,True,True,True
C001133,Juan Ciscomani,House,Republican,AZ,6,AZ-6,Representative,True,2023-01-03,3.6,456880,False,False,False,False,False,True,True
G000606,Adelita S. Grijalva,House,Democratic,AZ,7,AZ-7,Representative,True,2025-11-12,0.8,457037,False,False,False,False,False,False,True
H001098,Abraham J. Hamadeh,House,Republican,AZ,8,AZ-8,Representative,True,2025-01-03,1.6,456973,False,False,False,False,False,False,True
G000565,Paul A. Gosar,House,Republican,AZ,9,AZ-9,Representative,True,2011-01-05,15.6,412397,True,True,True,True,True,True,True
G000607,James Gallagher,House,Republican,CA,1,CA-1,Representative,True,2026-06-10,0.2,457043,False,False,False,False,False,False,True
D000623,Mark DeSaulnier,House,Democratic,CA,10,CA-10,Representative,True,2015-01-06,11.6,412613,False,True,True,True,True,True,True
P000197,Nancy Pelosi,House,Democratic,CA,11,CA-11,Representative,True,1987-01-06,39.6,400314,True,True,True,True,True,True,True
S001231,Lateefah Simon,House,Democratic,CA,12,CA-12,Representative,True,2025-01-03,1.6,456974,False,False,False,False,False,False,True
G000605,Adam Gray,House,Democratic,CA,13,CA-13,Representative,True,2025-01-03,1.6,456975,False,False,False,False,False,False,True
M001225,Kevin Mullin,House,Democratic,CA,15,CA-15,Representative,True,2023-01-03,3.6,456883,False,False,False,False,False,True,True
L000607,Sam T. Liccardo,House,Democratic,CA,16,CA-16,Representative,True,2025-01-03,1.6,456976,False,False,False,False,False,False,True
K000389,Ro Khanna,House,Democratic,CA,17,CA-17,Representative,True,2017-01-03,9.6,412684,False,False,True,True,True,True,True
L000397,Zoe Lofgren,House,Democratic,CA,18,CA-18,Representative,True,1995-01-04,31.6,400245,True,True,True,True,True,True,True
P000613,Jimmy Panetta,House,Democratic,CA,19,CA-19,Representative,True,2017-01-03,9.6,412685,False,False,True,True,True,True,True
H001068,Jared Huffman,House,Democratic,CA,2,CA-2,Representative,True,2013-01-03,13.6,412511,True,True,True,True,True,True,True
F000480,Vince Fong,House,Republican,CA,20,CA-20,Representative,True,2024-06-03,2.2,456958,False,False,False,False,False,True,True
C001059,Jim Costa,House,Democratic,CA,21,CA-21,Representative,True,2005-01-04,21.6,400618,True,True,True,True,True,True,True
V000129,David G. Valadao,House,Republican,CA,22,CA-22,Representative,True,2013-01-03,13.6,412515,True,True,True,False,True,True,True
O000019,Jay Obernolte,House,Republican,CA,23,CA-23,Representative,True,2021-01-03,5.6,456801,False,False,False,False,True,True,True
C001112,Salud O. Carbajal,House,Democratic,CA,24,CA-24,Representative,True,2017-01-03,9.6,412686,False,False,True,True,True,True,True
R000599,Raul Ruiz,House,Democratic,CA,25,CA-25,Representative,True,2013-01-03,13.6,412519,True,True,True,True,True,True,True
B001285,Julia Brownley,House,Democratic,CA,26,CA-26,Representative,True,2013-01-03,13.6,412516,True,True,True,True,True,True,True
W000830,George Whitesides,House,Democratic,CA,27,CA-27,Representative,True,2025-01-03,1.6,456977,False,False,False,False,False,False,True
C001080,Judy Chu,House,Democratic,CA,28,CA-28,Representative,True,2009-07-16,17.1,412379,True,True,True,True,True,True,True
R000620,Luz M. Rivas,House,Democratic,CA,29,CA-29,Representative,True,2025-01-03,1.6,456978,False,False,False,False,False,False,True
K000401,Kevin Kiley,House,Independent,CA,3,CA-3,Representative,True,2023-01-03,3.6,456881,False,False,False,False,False,True,True
F000483,Laura Friedman,House,Democratic,CA,30,CA-30,Representative,True,2025-01-03,1.6,456979,False,False,False,False,False,False,True
C001123,"Gilbert Ray Cisneros, Jr.",House,Democratic,CA,31,CA-31,Representative,True,2019-01-03,7.6,412757,False,False,False,True,False,False,True
S000344,Brad Sherman,House,Democratic,CA,32,CA-32,Representative,True,1997-01-07,29.6,400371,True,True,True,True,True,True,True
A000371,Pete Aguilar,House,Democratic,CA,33,CA-33,Representative,True,2015-01-06,11.6,412615,False,True,True,True,True,True,True
G000585,Jimmy Gomez,House,Democratic,CA,34,CA-34,Representative,True,2017-07-11,9.1,412739,False,False,True,True,True,True,True
T000474,Norma J. Torres,House,Democratic,CA,35,CA-35,Representative,True,2015-01-06,11.6,412617,False,True,True,True,True,True,True
L000582,Ted Lieu,House,Democratic,CA,36,CA-36,Representative,True,2015-01-06,11.6,412616,False,True,True,True,True,True,True
K000400,Sydney Kamlager-Dove,House,Democratic,CA,37,CA-37,Representative,True,2023-01-03,3.6,456884,False,False,False,False,False,True,True
S001156,Linda T. Sánchez,House,Democratic,CA,38,CA-38,Representative,True,2003-01-07,23.6,400355,True,True,True,True,True,True,True
T000472,Mark Takano,House,Democratic,CA,39,CA-39,Representative,True,2013-01-03,13.6,412520,True,True,True,True,True,True,True
T000460,Mike Thompson,House,Democratic,CA,4,CA-4,Representative,True,1999-01-06,27.6,400403,True,True,True,True,True,True,True
K000397,Young Kim,House,Republican,CA,40,CA-40,Representative,True,2021-01-03,5.6,456802,False,False,False,False,True,True,True
C000059,Ken Calvert,House,Republican,CA,41,CA-41,Representative,True,1993-01-05,33.6,400057,True,True,True,True,True,True,True
G000598,Robert Garcia,House,Democratic,CA,42,CA-42,Representative,True,2023-01-03,3.6,456885,False,False,False,False,False,True,True
W000187,Maxine Waters,House,Democratic,CA,43,CA-43,Representative,True,1991-01-03,35.6,400422,True,True,True,True,True,True,True
B001300,Nanette Diaz Barragán,House,Democratic,CA,44,CA-44,Representative,True,2017-01-03,9.6,412687,False,False,True,True,True,True,True
T000491,Derek Tran,House,Democratic,CA,45,CA-45,Representative,True,2025-01-03,1.6,456980,False,False,False,False,False,False,True
C001110,J. Luis Correa,House,Democratic,CA,46,CA-46,Representative,True,2017-01-03,9.6,412688,False,False,True,True,True,True,True
M001241,Dave Min,House,Democratic,CA,47,CA-47,Representative,True,2025-01-03,1.6,456981,False,False,False,False,False,False,True
I000056,Darrell Issa,House,Republican,CA,48,CA-48,Representative,True,2001-01-03,25.6,400196,True,True,True,False,True,True,True
L000593,Mike Levin,House,Democratic,CA,49,CA-49,Representative,True,2019-01-03,7.6,412760,False,False,False,True,True,True,True
M001177,Tom McClintock,House,Republican,CA,5,CA-5,Representative,True,2009-01-06,17.6,412295,True,True,True,True,True,True,True
P000608,Scott H. Peters,House,Democratic,CA,50,CA-50,Representative,True,2013-01-03,13.6,412523,True,True,True,True,True,True,True
J000305,Sara Jacobs,House,Democratic,CA,51,CA-51,Representative,True,2021-01-03,5.6,456804,False,False,False,False,True,True,True
V000130,Juan Vargas,House,Democratic,CA,52,CA-52,Representative,True,2013-01-03,13.6,412522,True,True,True,True,True,True,True
B001287,Ami Bera,House,Democratic,CA,6,CA-6,Representative,True,2013-01-03,13.6,412512,True,True,True,True,True,True,True
M001163,Doris O. Matsui,House,Democratic,CA,7,CA-7,Representative,True,2005-03-10,21.4,400663,True,True,True,True,True,True,True
G000559,John Garamendi,House,Democratic,CA,8,CA-8,Representative,True,2009-11-03,16.8,412382,True,True,True,True,True,True,True
H001090,Josh Harder,House,Democratic,CA,9,CA-9,Representative,True,2019-01-03,7.6,412754,False,False,False,True,True,True,True
D000197,Diana DeGette,House,Democratic,CO,1,CO-1,Representative,True,1997-01-07,29.6,400101,True,True,True,True,True,True,True
N000191,Joe Neguse,House,Democratic,CO,2,CO-2,Representative,True,2019-01-03,7.6,412761,False,False,False,True,True,True,True
H001100,Jeff Hurd,House,Republican,CO,3,CO-3,Representative,True,2025-01-03,1.6,456982,False,False,False,False,False,False,True
B000825,Lauren Boebert,House,Republican,CO,4,CO-4,Representative,True,2021-01-03,5.6,456805,False,False,False,False,True,True,True
C001137,Jeff Crank,House,Republican,CO,5,CO-5,Representative,True,2025-01-03,1.6,456983,False,False,False,False,False,False,True
C001121,Jason Crow,House,Democratic,CO,6,CO-6,Representative,True,2019-01-03,7.6,412762,False,False,False,True,True,True,True
P000620,Brittany Pettersen,House,Democratic,CO,7,CO-7,Representative,True,2023-01-03,3.6,456886,False,False,False,False,False,True,True
E000300,Gabe Evans,House,Republican,CO,8,CO-8,Representative,True,2025-01-03,1.6,456984,False,False,False,False,False,False,True
L000557,John B. Larson,House,Democratic,CT,1,CT-1,Representative,True,1999-01-06,27.6,400233,True,True,True,True,True,True,True
C001069,Joe Courtney,House,Democratic,CT,2,CT-2,Representative,True,2007-01-04,19.6,412193,True,True,True,True,True,True,True
D000216,Rosa L. DeLauro,House,Democratic,CT,3,CT-3,Representative,True,1991-01-03,35.6,400103,True,True,True,True,True,True,True
H001047,James A. Himes,House,Democratic,CT,4,CT-4,Representative,True,2009-01-06,17.6,412282,True,True,True,True,True,True,True
H001081,Jahana Hayes,House,Democratic,CT,5,CT-5,Representative,True,2019-01-03,7.6,412763,False,False,False,True,True,True,True
N000147,Eleanor Holmes Norton,House,Democratic,DC,At-Large,DC-AL,Delegate/Resident Commissioner,False,1991-01-03,35.6,400295,True,True,True,True,True,True,True
M001238,Sarah McBride,House,Democratic,DE,At-Large,DE-AL,Representative,True,2025-01-03,1.6,456985,False,False,False,False,False,False,True
P000622,Jimmy Patronis,House,Republican,FL,1,FL-1,Representative,True,2025-04-02,1.4,457034,False,False,False,False,False,False,True
F000476,Maxwell Frost,House,Democratic,FL,10,FL-10,Representative,True,2023-01-03,3.6,456890,False,False,False,False,False,True,True
W000806,Daniel Webster,House,Republican,FL,11,FL-11,Representative,True,2011-01-05,15.6,412410,True,True,True,True,True,True,True
B001257,Gus M. Bilirakis,House,Republican,FL,12,FL-12,Representative,True,2007-01-04,19.6,412250,True,True,True,True,True,True,True
L000596,Anna Paulina Luna,House,Republican,FL,13,FL-13,Representative,True,2023-01-03,3.6,456891,False,False,False,False,False,True,True
C001066,Kathy Castor,House,Democratic,FL,14,FL-14,Representative,True,2007-01-04,19.6,412195,True,True,True,True,True,True,True
L000597,Laurel M. Lee,House,Republican,FL,15,FL-15,Representative,True,2023-01-03,3.6,456892,False,False,False,False,False,True,True
B001260,Vern Buchanan,House,Republican,FL,16,FL-16,Representative,True,2007-01-04,19.6,412196,True,True,True,True,True,True,True
S001214,W. Gregory Steube,House,Republican,FL,17,FL-17,Representative,True,2019-01-03,7.6,412766,False,False,False,True,True,True,True
F000472,Scott Franklin,House,Republican,FL,18,FL-18,Representative,True,2021-01-03,5.6,456807,False,False,False,False,True,True,True
D000032,Byron Donalds,House,Republican,FL,19,FL-19,Representative,True,2021-01-03,5.6,456808,False,False,False,False,True,True,True
D000628,Neal P. Dunn,House,Republican,FL,2,FL-2,Representative,True,2017-01-03,9.6,412691,False,False,True,True,True,True,True
M001199,Brian J. Mast,House,Republican,FL,21,FL-21,Representative,True,2017-01-03,9.6,412698,False,False,True,True,True,True,True
F000462,Lois Frankel,House,Democratic,FL,22,FL-22,Representative,True,2013-01-03,13.6,412529,True,True,True,True,True,True,True
M001217,Jared Moskowitz,House,Democratic,FL,23,FL-23,Representative,True,2023-01-03,3.6,456893,False,False,False,False,False,True,True
W000808,Frederica S. Wilson,House,Democratic,FL,24,FL-24,Representative,True,2011-01-05,15.6,412412,True,True,True,True,True,True,True
W000797,Debbie Wasserman Schultz,House,Democratic,FL,25,FL-25,Representative,True,2005-01-04,21.6,400623,True,True,True,True,True,True,True
D000600,Mario Diaz-Balart,House,Republican,FL,26,FL-26,Representative,True,2003-01-07,23.6,400108,True,True,True,True,True,True,True
